Phrase,Positive,Negative,Strong,Power,Sentiment
a,0,0,0,0,2
abandon,0,1,0,0,1
abandonment,0,1,0,0,1
abate,0,1,0,0,1
abatement,0,0,0,0,2
abdicate,0,1,0,0,1
abhor,0,1,0,0,1
abide,1,0,0,0,3
ability,1,0,1,0,4
abject,0,1,0,0,1
able,1,0,1,0,4
abnormal,0,1,0,0,1
aboard,0,0,0,0,2
abolish,0,1,1,1,0
abolition,0,0,0,0,2
abominable,0,1,1,0,0
abortive,0,0,0,0,2
abound,1,0,0,0,3
about,0,0,0,0,2
about,0,0,0,0,2
about,0,0,0,0,2
about,0,0,0,0,2
about,0,0,0,0,2
about,0,0,0,0,2
about,0,0,0,0,2
above,0,0,0,0,2
above,0,0,0,0,2
above,0,0,0,0,2
above,0,0,0,0,2
abrasive,0,1,1,0,0
abroad,0,0,0,0,2
abrupt,0,1,0,0,1
abscond,0,1,0,0,1
absence,0,1,0,0,1
absent,0,1,0,0,1
absent,0,0,0,0,2
absentminded,0,1,0,0,1
absentee,0,1,0,0,1
absolute,0,0,1,0,2
absolute,0,0,1,0,2
absolve,1,0,0,0,3
absorb,0,0,0,0,2
absorb,0,0,0,0,2
absorbent,1,0,0,0,3
absorption,1,0,0,0,3
abstain,0,0,0,0,2
abstract,0,0,0,0,2
abstraction,0,0,0,0,2
absurd,0,1,0,0,1
absurdity,0,1,0,0,1
abundance,1,0,1,0,4
abundant,1,0,1,0,4
abuse,0,1,0,0,1
abuse,0,1,1,0,0
abyss,0,1,0,0,1
abyssinia,0,0,0,0,2
academic,0,0,0,0,2
academy,0,0,0,0,2
accede,1,0,0,0,3
accelerate,0,0,1,0,2
acceleration,0,0,1,0,2
accentuate,1,0,0,0,3
accept,1,0,0,0,3
acceptable,1,0,0,0,3
acceptance,1,0,0,0,3
access,0,0,0,0,2
accessible,1,0,0,0,3
accession,1,0,1,0,4
accident,0,1,0,0,1
accidental,0,0,0,0,2
acclaim,1,0,0,0,3
acclamation,1,0,0,0,3
accolade,1,0,0,0,3
accommodate,1,0,0,0,3
accommodation,1,0,0,0,3
accompaniment,1,0,0,0,3
accompany,0,0,0,0,2
accompany,0,0,0,0,2
accomplish,1,0,1,1,4
accomplishment,1,0,1,1,4
accord,0,0,0,0,2
accord,1,0,0,0,3
accord,1,0,0,1,4
accord,0,0,0,0,2
accord,1,0,0,0,3
accordance,1,0,0,0,3
accost,0,1,0,0,1
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
account,0,0,0,0,2
accountable,1,0,0,0,3
accrue,1,0,0,0,3
accumulate,0,0,0,0,2
accumulation,0,0,0,0,2
accuracy,1,0,0,0,3
accurate,1,0,0,0,3
accurateness,1,0,0,0,3
accursed,0,1,0,0,1
accusation,0,1,0,0,1
accuse,0,1,0,0,1
accuse,0,1,0,0,1
accustom,0,0,0,0,2
accustom,0,0,0,0,2
ache,0,1,0,0,1
achieve,1,0,1,0,4
achievement,1,0,0,1,4
acknowledge,0,0,0,0,2
acknowledgement,1,0,0,0,3
acknowledgment,0,0,0,0,2
acquaint,1,0,0,0,3
acquaintance,1,0,0,0,3
acquire,0,0,1,0,2
acquire,0,0,1,0,2
acquisition,0,0,1,0,2
acquit,1,0,0,0,3
acquittal,1,0,0,0,3
acre,0,0,0,0,2
acrimonious,0,1,0,0,1
acrimony,0,1,0,0,1
across,0,0,0,0,2
across,0,0,0,0,2
across,0,0,0,0,2
across,0,0,0,0,2
across,0,0,0,0,2
act,0,0,1,0,2
act,0,0,1,0,2
act,0,0,1,0,2
act,0,0,0,0,2
action,0,0,1,0,2
active,0,0,1,0,2
active,0,0,0,0,2
activity,0,0,0,0,2
actor,0,0,0,0,2
actual,1,0,0,0,3
actual,1,0,0,0,3
actuality,1,0,0,0,3
acute,0,0,0,0,2
adamant,1,0,1,0,4
adapt,0,0,1,0,2
adaptability,1,0,1,0,4
adaptable,1,0,1,0,4
adaptation,1,0,1,0,4
adaptive,1,0,1,0,4
add,0,0,1,0,2
add,0,0,0,0,2
addict,0,1,0,0,1
addiction,0,1,0,0,1
addition,0,0,0,0,2
addition,0,0,1,0,2
additional,0,0,1,0,2
address,0,0,0,0,2
address,0,0,0,0,2
address,0,0,0,0,2
aden,0,0,0,0,2
adept,1,0,1,0,4
adeptness,1,0,1,0,4
adequate,1,0,0,0,3
adhere,0,0,0,0,2
adherence,1,0,0,0,3
adherent,1,0,0,0,3
adhesion,1,0,0,0,3
adhesive,1,0,0,0,3
adjacent,0,0,0,0,2
adjoin,0,0,0,0,2
adjournment,0,0,0,0,2
adjudication,0,0,0,1,2
adjunct,1,0,0,0,3
adjust,0,0,1,0,2
adjust,1,0,0,0,3
adjustable,1,0,0,0,3
adjustment,1,0,0,0,3
administer,0,0,1,1,2
administration,0,0,1,1,2
administration,0,0,1,1,2
administrative,0,0,1,1,2
administrator,0,0,1,1,2
admirable,1,0,0,0,3
admiral,0,0,0,0,2
admiral,0,0,0,0,2
admiration,1,0,1,0,4
admire,1,0,0,0,3
admirer,1,0,1,0,4
admissible,0,0,0,0,2
admission,0,0,0,0,2
admit,1,0,0,0,3
admit,1,0,0,1,4
admit,1,0,0,0,3
admittance,1,0,0,0,3
admonish,0,1,1,1,0
admonition,0,1,0,0,1
adolescent,0,0,0,0,2
adopt,0,0,0,0,2
adopt,0,0,0,0,2
adoption,0,0,0,0,2
adorable,1,0,0,0,3
adore,1,0,0,0,3
adorn,1,0,1,0,4
adornment,1,0,0,0,3
adroit,1,0,1,0,4
adroitly,1,0,1,0,4
adulation,1,0,1,0,4
adult,0,0,1,0,2
adult,1,0,1,0,4
adulterate,0,1,0,0,1
adulteration,0,1,0,0,1
adultery,0,1,0,0,1
advance,1,0,1,0,4
advance,1,0,1,0,4
advance,1,0,0,0,3
advance,0,0,0,0,2
advancement,1,0,0,0,3
advantage,1,0,1,0,4
advantageous,1,0,1,0,4
advent,1,0,0,0,3
adventure,0,0,0,0,2
adventuresome,1,0,1,0,4
adventurous,1,0,1,0,4
adversary,0,1,0,0,1
adverse,0,1,0,0,1
adversity,0,1,0,0,1
advice,0,0,0,0,2
advisable,1,0,0,0,3
advise,0,0,0,0,2
adviser,0,0,0,1,2
advisor,0,0,0,1,2
advisory,0,0,0,0,2
advocacy,1,0,0,0,3
advocate,0,0,1,0,2
advocate,0,0,1,1,2
aesthetic,0,0,0,0,2
affability,1,0,0,0,3
affable,1,0,0,0,3
affair,0,0,0,0,2
affair,0,0,0,0,2
affair,0,0,0,0,2
affect,0,0,0,0,2
affectation,0,1,0,0,1
affection,1,0,0,0,3
affectionate,1,0,0,0,3
affiliate,1,0,0,0,3
affiliation,1,0,0,0,3
affinity,1,0,1,0,4
affirm,1,0,1,1,4
affirmance,0,0,0,0,2
affirmation,1,0,0,0,3
affirmative,1,0,0,0,3
affix,1,0,0,0,3
afflict,0,1,1,0,0
affliction,0,1,0,0,1
affluence,1,0,0,0,3
affluent,1,0,0,0,3
afford,0,0,1,0,2
afford,0,0,1,1,2
afghanistan,0,0,0,0,2
afloat,1,0,1,0,4
afraid,0,0,0,0,2
afraid,0,1,0,0,1
africa,0,0,0,0,2
african,0,0,0,0,2
after,0,0,0,0,2
after,0,0,0,0,2
after,0,0,0,0,2
afternoon,0,0,0,0,2
afterward,0,0,0,0,2
again,0,0,0,0,2
again,0,0,0,0,2
again,0,0,0,0,2
against,0,1,0,0,1
age,0,0,0,0,2
age,0,0,0,0,2
age,0,0,0,0,2
age,0,0,0,0,2
agency,0,0,0,1,2
agent,0,0,0,0,2
aggravate,0,1,1,0,0
aggravation,0,1,1,0,0
aggregate,1,0,0,0,3
aggregation,1,0,0,0,3
aggression,0,1,1,0,0
aggressive,0,1,1,0,0
aggressiveness,0,1,1,0,0
aggressor,0,1,0,0,1
aggrieve,0,1,0,0,1
aghast,0,1,0,0,1
agile,1,0,1,0,4
agility,1,0,1,0,4
agitate,0,1,1,0,0
agitation,0,1,1,0,0
agitator,0,1,0,0,1
ago,0,0,0,0,2
agonize,0,1,0,0,1
agony,0,1,0,0,1
agrarian,0,0,0,0,2
agree,0,0,0,0,2
agree,0,0,0,0,2
agreeable,1,0,0,0,3
agreement,1,0,1,0,4
agricultural,0,0,0,0,2
agriculture,0,0,0,0,2
ahead,0,0,0,0,2
aid,1,0,1,0,4
aid,1,0,0,0,3
aid,0,0,0,0,2
aide,0,0,0,0,2
ail,0,1,0,0,1
ailment,0,1,0,0,1
aim,0,0,0,0,2
aim,0,0,0,0,2
aimless,0,1,0,0,1
aint,0,0,0,0,2
air,0,0,0,0,2
air,0,0,0,0,2
air,0,0,0,0,2
air,0,0,1,0,2
air,0,0,0,0,2
air,0,0,0,0,2
air,0,0,0,0,2
aircraft,0,0,0,0,2
airplane,0,0,0,0,2
airport,0,0,0,0,2
akin,0,0,0,0,2
alabama,0,0,0,0,2
alarm,0,0,0,0,2
alarm,0,1,0,0,1
alarming,0,1,0,0,1
alas,0,1,0,0,1
alaska,0,0,0,0,2
albania,0,0,0,0,2
album,0,0,0,0,2
alcoholic,0,0,0,0,2
alert,0,0,1,0,2
alertness,1,0,0,0,3
algeria,0,0,0,0,2
algiers,0,0,0,0,2
alibi,0,1,0,0,1
alien,0,1,0,0,1
alienate,0,1,0,0,1
alienation,0,1,0,0,1
alight,1,0,0,0,3
align,0,0,0,0,2
align,0,0,0,0,2
alike,0,0,0,0,2
alive,1,0,1,0,4
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
